t1assists	t1barons	t1cc	t1cs	t1deaths	t1dragons	t1firstbaron	t1firstdrag	t1firstherald	t1firstinhib	t1firsttower	t1gold	t1kills	t1towers	t1vision	t2assists	t2barons	t2cc	t2cs	t2deaths	t2dragons	t2firstbaron	t2firstdrag	t2firstherald	t2firstinhib	t2firsttower	t2gold	t2kills	t2towers	t2vision	winner
33	1	80	453	13	3	true	true	true	true	true	46058	21	8	166	20	0	95	727	23	0	false	false	false	false	false	41052	14	5	106	1
22	0	58	296	32	1	false	false	false	false	false	34021	19	1	99	63	1	95	328	16	2	true	true	true	true	true	42371	29	7	91	2
22	0	61	318	4	0	false	false	false	false	true	24797	12	2	50	6	0	23	278	15	0	false	false	true	false	false	18300	3	0	36	1
37	1	53	419	9	3	true	true	false	true	true	43192	31	10	123	12	0	93	352	30	0	false	false	true	false	false	30099	10	0	97	1
31	1	45	406	16	3	true	true	true	true	true	43679	21	10	105	20	0	27	521	25	0	false	false	false	false	false	37189	12	1	58	1
30	1	73	542	16	1	true	false	false	true	false	48397	26	8	110	26	0	45	422	26	2	false	true	true	false	true	38950	16	2	97	1
45	0	83	567	22	1	false	true	false	false	false	48461	22	4	107	33	1	74	612	20	4	true	false	true	true	true	50269	24	9	156	2
31	0	72	493	21	0	false	false	true	false	false	40434	14	2	161	35	1	62	531	18	4	true	true	false	true	true	52762	25	11	219	2
25	0	61	430	7	3	false	true	true	false	true	35971	21	6	116	12	0	40	485	22	0	false	false	false	false	false	28145	8	1	60	1
16	0	98	477	20	0	false	false	true	false	false	38977	11	2	114	31	1	41	645	11	3	true	true	false	true	true	48931	25	8	92	2
18	0	35	577	22	2	false	true	true	false	false	36129	12	2	131	50	1	57	421	13	2	true	false	false	true	true	41590	16	7	168	2
32	1	54	812	24	1	false	true	true	false	true	53685	21	3	207	51	2	87	577	17	3	true	false	false	true	false	54828	24	10	178	2
19	1	36	635	8	3	true	true	true	true	true	44895	23	6	90	15	0	70	421	19	0	false	false	false	false	false	32444	10	1	98	1
25	0	72	551	19	2	false	true	false	true	true	41561	17	4	116	40	1	63	416	17	0	true	false	true	false	false	45034	24	5	127	2
23	0	80	662	22	4	false	true	true	true	true	50742	25	9	188	44	2	83	582	22	1	true	false	false	false	false	51458	20	7	147	2
38	0	128	586	29	3	false	true	true	true	true	44760	17	10	154	37	1	129	390	27	1	true	false	false	false	false	41088	24	0	135	1
32	1	69	576	18	1	true	false	false	false	false	43052	20	2	105	38	0	57	526	15	3	false	true	true	true	true	45336	19	9	150	2
46	0	200	442	39	1	false	false	true	false	true	52859	27	6	223	81	2	166	662	25	4	true	true	false	true	false	60991	38	8	210	2
40	0	75	587	22	2	false	false	false	true	true	56153	33	7	168	34	2	250	532	28	2	true	true	true	false	false	49270	18	3	172	1
46	1	123	600	34	4	true	false	true	false	false	55183	17	5	182	52	2	58	480	23	1	false	true	false	true	true	57211	26	11	209	2
9	0	44	443	11	1	false	true	false	false	false	26947	8	0	66	22	0	70	354	5	2	false	false	true	true	true	31411	13	8	68	2
36	1	71	738	24	1	false	true	true	true	true	59724	30	7	170	39	1	98	593	29	4	true	false	false	false	false	54924	21	9	170	2
20	0	33	299	7	2	false	true	true	false	true	32153	24	5	80	7	0	71	284	21	0	false	false	false	false	false	24214	8	0	58	1
24	1	111	828	29	4	true	true	true	true	false	58037	19	8	164	42	2	156	677	20	2	false	false	false	false	true	64524	32	9	178	2
58	2	91	725	40	3	true	false	true	false	true	80561	36	9	305	70	1	138	608	38	3	false	true	false	true	false	82057	44	8	238	2
23	0	79	524	27	0	false	false	true	false	false	41242	19	3	80	43	1	84	599	13	3	true	true	false	true	true	46879	16	7	78	2
46	1	95	406	16	2	true	true	true	true	true	46180	36	9	108	24	0	72	478	32	1	false	false	false	false	false	32613	13	1	85	1
37	1	55	433	21	1	true	false	false	true	false	44934	21	11	96	30	0	67	321	24	2	false	true	true	false	true	35051	14	3	107	1
26	1	74	508	12	3	true	true	false	true	true	44425	28	8	88	23	0	75	358	23	1	false	false	true	false	false	34456	12	4	98	1
3	0	32	288	14	0	false	false	false	false	false	16451	2	0	39	27	0	57	255	5	2	false	true	true	true	true	25973	12	8	40	2
